,level_0,index,id,gender,age,race,importance_same_race,importance_same_religion,field,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,movies,concerts,music,shopping,yoga
54,70,808,71.0,female,23.0,european/caucasian-american,10.0,9.0,social work,17.0,18.0,18.0,15.0,17.0,15.0,10.0,10.0,9.0,8.0,5.0,2.0,1.0,10.0,10.0,5.0,5.0,2.0,1.0,7.0,6.0,8.0,7.0,6.0,9.0,10.0,4.0
55,71,818,72.0,female,22.0,european/caucasian-american,10.0,10.0,social work,10.0,20.0,20.0,20.0,15.0,15.0,6.0,10.0,10.0,9.0,10.0,4.0,4.0,5.0,9.0,9.0,9.0,9.0,1.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
56,92,848,93.0,female,29.0,other,3.0,10.0,psychology,5.0,20.0,25.0,15.0,15.0,20.0,7.0,9.0,9.0,9.0,9.0,3.0,1.0,9.0,9.0,5.0,5.0,3.0,1.0,5.0,5.0,2.0,7.0,6.0,9.0,5.0,5.0
57,93,858,94.0,female,28.0,european/caucasian-american,1.0,5.0,german literature,15.0,15.0,20.0,15.0,15.0,20.0,7.0,10.0,7.0,10.0,7.0,1.0,1.0,5.0,10.0,10.0,10.0,5.0,1.0,5.0,10.0,6.0,10.0,8.0,10.0,8.0,7.0
58,94,868,95.0,female,26.0,latino/hispanic american,1.0,1.0,law,30.0,10.0,20.0,20.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,5.0,7.0,8.0,6.0,6.0,7.0,7.0,7.0,7.0,3.0,9.0,7.0,9.0,9.0,2.0
59,95,878,96.0,female,24.0,asian/pacific islander/asian-american,1.0,3.0,law,5.0,15.0,45.0,25.0,0.0,10.0,6.0,8.0,9.0,8.0,7.0,5.0,3.0,8.0,6.0,9.0,8.0,5.0,1.0,2.0,10.0,1.0,9.0,4.0,5.0,6.0,2.0
60,96,888,97.0,female,27.0,asian/pacific islander/asian-american,6.0,3.0,social work,10.0,25.0,25.0,10.0,10.0,20.0,8.0,8.0,6.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,5.0,3.0,8.0,7.0,8.0,9.0,9.0,8.0,5.0
61,97,898,98.0,female,23.0,other,6.0,3.0,social work,17.0,17.0,17.0,17.0,17.0,15.0,7.0,9.0,9.0,8.0,9.0,7.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,6.0
62,98,908,99.0,male,29.0,latino/hispanic american,1.0,1.0,business & international affairs,20.0,25.0,15.0,15.0,53.0,20.0,6.0,7.0,7.0,8.0,8.0,4.0,2.0,3.0,6.0,4.0,3.0,3.0,6.0,4.0,8.0,6.0,8.0,4.0,6.0,4.0,2.0
63,99,918,100.0,male,22.0,other,1.0,1.0,law,20.0,15.0,20.0,20.0,5.0,10.0,5.0,7.0,6.0,7.0,7.0,9.0,9.0,6.0,7.0,6.0,6.0,4.0,4.0,4.0,6.0,6.0,9.0,9.0,9.0,2.0,1.0
64,100,928,101.0,male,27.0,black/african american,1.0,1.0,mfa creative writing,21.0,17.0,22.0,20.0,8.0,13.0,6.0,8.0,7.0,8.0,8.0,3.0,2.0,2.0,7.0,8.0,8.0,3.0,3.0,7.0,10.0,7.0,9.0,7.0,7.0,7.0,1.0
65,101,938,102.0,male,28.0,european/caucasian-american,2.0,2.0,mba,50.0,10.0,30.0,10.0,0.0,0.0,5.0,9.0,5.0,8.0,8.0,10.0,7.0,5.0,5.0,3.0,2.0,1.0,3.0,9.0,8.0,2.0,7.0,6.0,7.0,2.0,1.0
66,102,948,103.0,male,26.0,european/caucasian-american,5.0,1.0,mba,25.0,10.0,20.0,20.0,15.0,10.0,8.0,6.0,8.0,9.0,6.0,9.0,4.0,9.0,5.0,7.0,5.0,7.0,5.0,5.0,8.0,3.0,8.0,5.0,8.0,5.0,6.0
67,103,958,104.0,male,21.0,european/caucasian-american,6.0,7.0,law,60.0,15.0,0.0,15.0,0.0,10.0,6.0,8.0,8.0,10.0,10.0,9.0,10.0,6.0,4.0,3.0,3.0,7.0,6.0,7.0,7.0,8.0,10.0,6.0,8.0,2.0,1.0
68,104,968,105.0,male,22.0,european/caucasian-american,8.0,1.0,engineering,21.0,20.0,19.0,20.0,10.0,10.0,7.0,9.0,8.0,8.0,8.0,8.0,3.0,7.0,10.0,6.0,6.0,7.0,2.0,9.0,5.0,6.0,7.0,6.0,8.0,8.0,4.0
69,105,978,106.0,male,22.0,european/caucasian-american,7.0,3.0,mba,30.0,10.0,20.0,30.0,0.0,10.0,7.0,7.0,8.0,7.0,8.0,9.0,9.0,7.0,6.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0,7.0,7.0,6.0,4.0,1.0
70,106,988,107.0,male,25.0,european/caucasian-american,3.0,1.0,electrical engineering,30.0,0.0,30.0,30.0,10.0,0.0,7.0,9.0,9.0,8.0,7.0,8.0,3.0,5.0,9.0,10.0,10.0,9.0,6.0,8.0,10.0,2.0,10.0,8.0,8.0,3.0,5.0
71,107,998,108.0,male,24.0,other,3.0,3.0,law,20.0,20.0,20.0,20.0,10.0,10.0,7.0,7.0,8.0,8.0,8.0,8.0,2.0,8.0,7.0,7.0,7.0,7.0,5.0,9.0,8.0,8.0,7.0,6.0,8.0,5.0,5.0
72,108,1008,109.0,female,34.0,european/caucasian-american,5.0,7.0,classics,10.0,10.0,30.0,20.0,10.0,20.0,6.0,6.0,6.0,8.0,4.0,1.0,7.0,6.0,8.0,8.0,8.0,5.0,1.0,7.0,7.0,4.0,8.0,8.0,7.0,7.0,7.0
73,109,1026,110.0,female,22.0,european/caucasian-american,2.0,2.0,social work,15.0,20.0,20.0,20.0,15.0,10.0,6.0,8.0,8.0,8.0,8.0,7.0,1.0,10.0,9.0,9.0,9.0,8.0,3.0,6.0,6.0,6.0,8.0,10.0,10.0,7.0,9.0
74,110,1044,111.0,female,23.0,latino/hispanic american,1.0,4.0,social work,10.0,25.0,20.0,10.0,20.0,15.0,3.0,10.0,3.0,8.0,8.0,5.0,1.0,7.0,7.0,9.0,5.0,9.0,1.0,3.0,9.0,3.0,9.0,9.0,7.0,5.0,10.0
75,111,1062,112.0,female,26.0,asian/pacific islander/asian-american,8.0,8.0,operations research [seas],10.0,20.0,15.0,20.0,20.0,15.0,7.0,9.0,8.0,7.0,7.0,2.0,3.0,2.0,10.0,10.0,10.0,2.0,1.0,7.0,4.0,4.0,9.0,8.0,8.0,3.0,3.0
76,112,1080,113.0,female,27.0,asian/pacific islander/asian-american,3.0,1.0,chemistry,10.0,20.0,20.0,10.0,20.0,20.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,7.0,5.0,5.0,4.0,3.0,1.0,5.0,10.0,9.0,7.0,7.0,7.0,9.0,2.0
77,113,1098,114.0,female,28.0,european/caucasian-american,6.0,9.0,journalism,10.0,10.0,20.0,20.0,20.0,20.0,8.0,7.0,8.0,7.0,7.0,6.0,2.0,7.0,9.0,9.0,7.0,7.0,1.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,4.0
78,114,1116,115.0,female,25.0,other,2.0,7.0,elementary/childhood education [ma],20.0,20.0,20.0,20.0,10.0,10.0,8.0,9.0,8.0,8.0,7.0,5.0,5.0,5.0,8.0,9.0,10.0,9.0,1.0,7.0,8.0,6.0,8.0,8.0,9.0,6.0,7.0
79,115,1134,116.0,female,35.0,latino/hispanic american,1.0,5.0,economics,10.0,32.0,20.0,12.0,11.0,15.0,5.0,9.0,9.0,5.0,5.0,5.0,1.0,3.0,5.0,7.0,8.0,3.0,1.0,6.0,8.0,3.0,8.0,7.0,8.0,4.0,7.0
80,116,1152,117.0,female,32.0,latino/hispanic american,1.0,1.0,microbiology,30.0,30.0,30.0,5.0,0.0,5.0,7.0,9.0,7.0,8.0,5.0,7.0,1.0,9.0,9.0,9.0,9.0,3.0,1.0,9.0,9.0,1.0,10.0,9.0,9.0,5.0,5.0
81,117,1170,118.0,female,30.0,european/caucasian-american,3.0,5.0,masters of social work,20.0,25.0,15.0,15.0,15.0,10.0,7.0,9.0,9.0,8.0,9.0,2.0,3.0,4.0,9.0,8.0,6.0,8.0,4.0,7.0,8.0,4.0,7.0,5.0,8.0,5.0,3.0
82,118,1188,119.0,female,22.0,european/caucasian-american,1.0,1.0,communications,15.0,20.0,20.0,20.0,5.0,20.0,7.0,9.0,9.0,9.0,4.0,2.0,2.0,1.0,4.0,7.0,7.0,2.0,1.0,6.0,4.0,7.0,10.0,10.0,10.0,2.0,2.0
83,119,1206,120.0,female,23.0,european/caucasian-american,8.0,10.0,social work,15.0,15.0,20.0,15.0,15.0,20.0,9.0,9.0,9.0,9.0,9.0,10.0,5.0,10.0,8.0,7.0,7.0,8.0,4.0,9.0,9.0,6.0,10.0,9.0,10.0,7.0,9.0
84,120,1224,121.0,female,23.0,european/caucasian-american,8.0,7.0,social work,15.0,15.0,20.0,15.0,20.0,15.0,9.0,9.0,9.0,9.0,9.0,8.0,7.0,10.0,7.0,7.0,7.0,8.0,6.0,6.0,10.0,8.0,10.0,8.0,10.0,9.0,3.0
85,121,1242,122.0,female,27.0,european/caucasian-american,3.0,2.0,marketing,25.0,15.0,20.0,20.0,20.0,0.0,8.0,9.0,8.0,9.0,10.0,2.0,2.0,2.0,10.0,8.0,8.0,7.0,8.0,9.0,8.0,1.0,8.0,8.0,9.0,4.0,2.0
86,122,1260,123.0,female,23.0,asian/pacific islander/asian-american,4.0,1.0,chemistry,15.0,21.0,18.0,18.0,10.0,18.0,5.0,8.0,5.0,7.0,5.0,8.0,9.0,6.0,5.0,8.0,9.0,6.0,3.0,1.0,10.0,6.0,8.0,7.0,6.0,4.0,1.0
87,123,1278,124.0,female,25.0,other,6.0,8.0,law,15.0,3.0,50.0,20.0,2.0,10.0,6.0,7.0,7.0,9.0,8.0,4.0,2.0,5.0,7.0,7.0,5.0,7.0,3.0,5.0,7.0,7.0,8.0,8.0,7.0,6.0,2.0
88,124,1296,125.0,female,29.0,european/caucasian-american,1.0,2.0,international educational development,10.0,20.0,20.0,20.0,20.0,10.0,9.0,10.0,9.0,9.0,9.0,7.0,2.0,8.0,10.0,9.0,9.0,9.0,2.0,9.0,10.0,4.0,10.0,8.0,10.0,6.0,9.0
89,125,1314,126.0,female,29.0,european/caucasian-american,2.0,2.0,education administration,14.0,20.0,18.0,24.0,18.0,6.0,8.0,8.0,8.0,8.0,7.0,3.0,2.0,6.0,10.0,7.0,6.0,8.0,7.0,8.0,7.0,5.0,8.0,6.0,5.0,7.0,6.0
90,126,1332,127.0,male,28.0,asian/pacific islander/asian-american,6.0,8.0,business [mba],20.0,20.0,20.0,10.0,10.0,20.0,6.0,9.0,9.0,9.0,7.0,7.0,2.0,8.0,8.0,5.0,4.0,4.0,3.0,3.0,9.0,5.0,9.0,6.0,7.0,4.0,5.0
91,127,1350,128.0,male,26.0,european/caucasian-american,7.0,5.0,business,18.0,18.0,18.0,19.0,13.0,14.0,7.0,9.0,8.0,10.0,7.0,10.0,10.0,6.0,6.0,4.0,3.0,1.0,6.0,4.0,7.0,9.0,10.0,8.0,10.0,3.0,3.0
92,128,1368,129.0,male,26.0,latino/hispanic american,3.0,6.0,computer science,10.0,20.0,20.0,22.0,6.0,22.0,7.0,9.0,9.0,9.0,9.0,5.0,8.0,7.0,10.0,10.0,8.0,10.0,6.0,8.0,8.0,3.0,9.0,8.0,7.0,7.0,3.0
93,129,1386,130.0,male,29.0,european/caucasian-american,4.0,1.0,climate-earth and environ. science,50.0,7.0,20.0,23.0,0.0,0.0,7.0,5.0,7.0,6.0,6.0,6.0,8.0,8.0,3.0,3.0,3.0,6.0,1.0,5.0,8.0,3.0,7.0,3.0,7.0,3.0,5.0
