,id,gender,age,race,importance_same_race,importance_same_religion,field,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,movies,concerts,music,shopping,yoga,nb_match,mean_note_moyenne_o
16,16,male,30.0,european/caucasian-american,1.0,1.0,political science,35.0,15.0,25.0,10.0,5.0,10.0,7.0,7.0,6.0,8.0,4.0,8.0,2.0,9.0,7.0,7.0,5.0,4.0,2.0,6.0,4.0,2.0,9.0,7.0,7.0,2.0,2.0,1,6.588120000000001
17,17,male,27.0,european/caucasian-american,8.0,8.0,business,33.33,11.11,11.11,11.11,11.11,22.22,6.0,8.0,6.0,8.0,9.0,5.0,5.0,5.0,9.0,4.0,3.0,4.0,4.0,2.0,6.0,9.0,9.0,3.0,6.0,2.0,1.0,1,5.82404
18,18,male,28.0,european/caucasian-american,1.0,1.0,money,50.0,0.0,25.0,10.0,0.0,15.0,10.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,6.0,7.0,9.0,8.0,1.0,7.0,7.0,7.0,7.0,10.0,9,7.01357
19,19,male,24.0,european/caucasian-american,1.0,1.0,finance,100.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,4.0,10.0,10.0,8.0,3.0,8.0,6.0,6.0,5.0,10.0,1,7.17175
20,20,female,21.0,asian/pacific islander/asian-american,8.0,10.0,operations research,12.0,18.0,20.0,16.0,16.0,18.0,5.0,9.0,7.0,9.0,10.0,10.0,8.0,10.0,5.0,5.0,5.0,2.0,1.0,3.0,7.0,10.0,7.0,4.0,8.0,5.0,2.0,0,5.930000000000001
21,21,female,27.0,black/african american,1.0,2.0,tc [health ed],20.0,20.0,20.0,10.0,10.0,20.0,7.0,8.0,7.0,8.0,7.0,1.0,2.0,2.0,8.0,8.0,8.0,1.0,2.0,6.0,8.0,8.0,9.0,7.0,7.0,8.0,8.0,2,5.4692307692307685
22,22,female,21.0,asian/pacific islander/asian-american,9.0,6.0,psychology,10.0,20.0,40.0,10.0,10.0,10.0,5.0,8.0,6.0,7.0,8.0,2.0,2.0,3.0,9.0,7.0,6.0,6.0,7.0,7.0,10.0,9.0,10.0,10.0,10.0,10.0,3.0,3,6.116666666666666
23,23,female,27.0,european/caucasian-american,2.0,3.0,social work,10.0,20.0,20.0,15.0,20.0,15.0,7.0,9.0,9.0,8.0,8.0,10.0,1.0,10.0,9.0,6.0,6.0,10.0,6.0,3.0,6.0,1.0,9.0,8.0,8.0,6.0,7.0,0,6.285714285714286
24,24,female,25.0,european/caucasian-american,10.0,2.0,social work,20.0,20.0,15.0,15.0,15.0,15.0,7.0,9.0,7.0,8.0,6.0,7.0,4.0,7.0,7.0,6.0,3.0,5.0,6.0,8.0,9.0,9.0,10.0,6.0,8.0,8.0,4.0,0,6.653571428571429
25,25,female,23.0,european/caucasian-american,2.0,4.0,social work,20.0,20.0,20.0,15.0,15.0,10.0,7.0,8.0,8.0,8.0,8.0,9.0,4.0,9.0,7.0,7.0,4.0,6.0,5.0,7.0,5.0,3.0,9.0,6.0,4.0,5.0,1.0,0,6.728571428571429
26,26,female,22.0,latino/hispanic american,1.0,5.0,speech language pathology,17.0,10.0,18.0,20.0,25.0,10.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,8.0,8.0,7.0,6.0,8.0,7.0,8.0,8.0,5.0,5.0,5.0,7.0,7.0,8.0,2,6.896428571428572
27,27,female,22.0,european/caucasian-american,4.0,5.0,social work,20.0,22.0,18.0,15.0,15.0,10.0,6.0,9.0,8.0,7.0,8.0,8.0,9.0,7.0,7.0,7.0,6.0,2.0,2.0,7.0,7.0,7.0,7.0,6.0,8.0,9.0,5.0,2,5.876666666666667
28,28,female,23.0,european/caucasian-american,2.0,4.0,law,10.0,20.0,20.0,20.0,20.0,10.0,7.0,8.0,9.0,8.0,8.0,5.0,6.0,8.0,7.0,4.0,4.0,2.0,1.0,7.0,8.0,5.0,7.0,7.0,9.0,6.0,4.0,2,6.2178571428571425
29,29,female,24.0,european/caucasian-american,4.0,8.0,law,35.0,10.0,20.0,20.0,10.0,5.0,8.0,8.0,9.0,8.0,9.0,3.0,3.0,7.0,10.0,7.0,7.0,7.0,2.0,6.0,6.0,8.0,8.0,6.0,7.0,10.0,6.0,4,6.723333333333334
30,30,female,27.0,asian/pacific islander/asian-american,1.0,1.0,psychology,50.0,0.0,50.0,0.0,0.0,0.0,7.0,5.0,9.0,9.0,7.0,4.0,1.0,5.0,9.0,5.0,5.0,1.0,2.0,4.0,9.0,6.0,7.0,5.0,8.0,10.0,9.0,0,7.013333333333334
31,31,female,30.0,european/caucasian-american,4.0,8.0,educational psychology,30.0,20.0,30.0,10.0,0.0,10.0,6.0,8.0,6.0,8.0,8.0,4.0,6.0,10.0,7.0,8.0,6.0,6.0,8.0,6.0,10.0,10.0,8.0,6.0,6.0,7.0,9.0,0,6.61
32,32,female,21.0,asian/pacific islander/asian-american,2.0,2.0,applied maths/econs,30.0,5.0,30.0,15.0,15.0,5.0,7.0,7.0,7.0,7.0,8.0,7.0,6.0,6.0,7.0,4.0,4.0,5.0,4.0,7.0,7.0,6.0,10.0,7.0,7.0,7.0,7.0,2,6.656666666666667
33,33,female,25.0,european/caucasian-american,9.0,7.0,mathematics,20.0,23.0,23.0,22.0,7.0,5.0,8.0,9.0,9.0,9.0,7.0,9.0,7.0,9.0,8.0,8.0,8.0,5.0,6.0,9.0,7.0,9.0,8.0,7.0,7.0,8.0,3.0,5,6.353571428571429
34,34,female,26.0,european/caucasian-american,7.0,8.0,statistics,20.0,25.0,20.0,15.0,15.0,5.0,8.0,7.0,8.0,8.0,6.0,6.0,1.0,4.0,6.0,7.0,7.0,7.0,1.0,3.0,9.0,1.0,6.0,6.0,7.0,5.0,1.0,2,6.213333333333334
35,35,female,27.0,european/caucasian-american,5.0,8.0,organizational psychology,10.0,10.0,30.0,25.0,10.0,15.0,7.0,8.0,7.0,9.0,5.0,6.0,4.0,6.0,10.0,9.0,8.0,7.0,6.0,7.0,5.0,6.0,7.0,8.0,7.0,4.0,9.0,2,5.853571428571429
36,36,female,23.0,black/african american,8.0,1.0,law,50.0,10.0,20.0,10.0,10.0,0.0,8.0,2.0,7.0,8.0,8.0,7.0,2.0,7.0,10.0,2.0,2.0,7.0,4.0,7.0,2.0,8.0,10.0,10.0,10.0,10.0,2.0,3,6.735714285714286
37,37,female,24.0,latino/hispanic american,6.0,4.0,law,20.0,20.0,20.0,15.0,15.0,10.0,6.0,9.0,6.0,8.0,7.0,3.0,2.0,4.0,10.0,10.0,8.0,7.0,1.0,5.0,10.0,9.0,10.0,9.0,9.0,10.0,1.0,1,5.866666666666666
38,38,male,25.0,asian/pacific islander/asian-american,9.0,6.0,operations research,25.0,20.0,25.0,20.0,10.0,0.0,3.0,10.0,8.0,9.0,5.0,4.0,9.0,3.0,7.0,7.0,8.0,5.0,7.0,9.0,7.0,5.0,8.0,8.0,10.0,4.0,2.0,0,5.1505882352941175
39,39,male,30.0,asian/pacific islander/asian-american,1.0,1.0,law,30.0,20.0,10.0,30.0,0.0,10.0,5.0,7.0,5.0,8.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,10.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,0,4.73
40,40,male,23.0,asian/pacific islander/asian-american,1.0,6.0,mechanical engineering,20.0,25.0,20.0,15.0,10.0,10.0,6.0,9.0,6.0,8.0,4.0,1.0,1.0,7.0,5.0,3.0,3.0,3.0,1.0,1.0,9.0,8.0,7.0,2.0,5.0,2.0,1.0,0,5.482941176470589
41,41,male,24.0,european/caucasian-american,1.0,1.0,economics,25.0,35.0,30.0,10.0,0.0,0.0,3.0,8.0,3.0,7.0,2.0,8.0,9.0,6.0,5.0,7.0,7.0,2.0,5.0,5.0,9.0,6.0,4.0,6.0,5.0,2.0,1.0,1,5.07764705882353
42,42,male,24.0,european/caucasian-american,3.0,3.0,psychology,25.0,15.0,25.0,25.0,15.0,15.0,7.0,9.0,8.0,9.0,9.0,9.0,1.0,8.0,7.0,8.0,8.0,10.0,6.0,7.0,8.0,1.0,3.0,8.0,1.0,6.0,8.0,4,5.210000000000001
43,43,male,28.0,european/caucasian-american,6.0,6.0,finance,25.0,15.0,25.0,15.0,0.0,20.0,7.0,8.0,6.0,8.0,7.0,9.0,7.0,3.0,6.0,8.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,3.0,4,5.31
44,44,male,26.0,european/caucasian-american,2.0,3.0,finanace,20.0,35.0,20.0,10.0,10.0,5.0,7.0,8.0,5.0,7.0,7.0,10.0,7.0,5.0,6.0,7.0,7.0,8.0,3.0,7.0,7.0,4.0,6.0,5.0,6.0,2.0,7.0,4,6.382666666666667
45,45,male,30.0,european/caucasian-american,2.0,2.0,finance&economics,20.0,20.0,25.0,25.0,5.0,5.0,8.0,7.0,9.0,9.0,3.0,6.0,7.0,2.0,8.0,7.0,6.0,3.0,7.0,4.0,7.0,4.0,8.0,8.0,7.0,2.0,1.0,1,5.071666666666667
46,46,male,22.0,european/caucasian-american,9.0,2.0,undergrad - gs,30.0,15.0,25.0,25.0,5.0,0.0,7.0,9.0,6.0,7.0,6.0,3.0,1.0,6.0,7.0,7.0,8.0,1.0,5.0,8.0,4.0,6.0,10.0,6.0,8.0,6.0,2.0,1,5.702222222222222
47,47,male,25.0,asian/pacific islander/asian-american,1.0,3.0,mathematical finance,20.0,20.0,20.0,20.0,5.0,15.0,7.0,10.0,10.0,10.0,8.0,10.0,7.0,5.0,7.0,6.0,7.0,2.0,8.0,7.0,9.0,5.0,6.0,5.0,8.0,2.0,7.0,6,6.421176470588236
48,48,male,27.0,black/african american,4.0,4.0,law,35.0,10.0,20.0,15.0,10.0,10.0,8.0,9.0,9.0,10.0,8.0,10.0,10.0,3.0,8.0,5.0,3.0,4.0,3.0,10.0,5.0,6.0,10.0,7.0,10.0,6.0,2.0,4,6.4288235294117655
49,49,male,23.0,european/caucasian-american,5.0,10.0,law,25.0,10.0,35.0,15.0,0.0,15.0,6.0,8.0,2.0,10.0,2.0,6.0,6.0,7.0,3.0,4.0,3.0,6.0,5.0,4.0,5.0,7.0,6.0,1.0,2.0,2.0,1.0,1,4.94
50,50,male,21.0,european/caucasian-american,10.0,9.0,law,15.0,20.0,15.0,30.0,5.0,15.0,5.0,8.0,6.0,8.0,7.0,8.0,5.0,3.0,6.0,3.0,4.0,3.0,3.0,3.0,3.0,7.0,6.0,3.0,5.0,4.0,2.0,1,5.146470588235295
51,51,male,28.0,european/caucasian-american,2.0,2.0,medicine,40.0,15.0,20.0,10.0,5.0,10.0,8.0,9.0,8.0,8.0,8.0,8.0,4.0,3.0,10.0,9.0,8.0,8.0,4.0,4.0,9.0,5.0,9.0,9.0,9.0,7.0,3.0,1,6.275625
52,52,male,28.0,european/caucasian-american,1.0,1.0,mba,40.0,20.0,20.0,20.0,0.0,0.0,8.0,9.0,8.0,8.0,8.0,5.0,2.0,2.0,8.0,7.0,8.0,8.0,1.0,3.0,7.0,1.0,6.0,9.0,9.0,1.0,3.0,0,5.135882352941176
53,53,male,23.0,black/african american,1.0,1.0,law,20.0,25.0,25.0,10.0,10.0,10.0,6.0,10.0,10.0,9.0,10.0,10.0,8.0,4.0,5.0,5.0,4.0,1.0,6.0,10.0,9.0,7.0,10.0,7.0,10.0,5.0,1.0,3,6.264117647058824
54,54,female,23.0,european/caucasian-american,10.0,9.0,social work,17.0,18.0,18.0,15.0,17.0,15.0,10.0,10.0,9.0,8.0,5.0,2.0,1.0,10.0,10.0,5.0,5.0,2.0,1.0,7.0,6.0,8.0,7.0,6.0,9.0,10.0,4.0,2,6.678
55,55,female,22.0,european/caucasian-american,10.0,10.0,social work,10.0,20.0,20.0,20.0,15.0,15.0,6.0,10.0,10.0,9.0,10.0,4.0,4.0,5.0,9.0,9.0,9.0,9.0,1.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1,5.859
56,56,female,29.0,other,3.0,10.0,psychology,5.0,20.0,25.0,15.0,15.0,20.0,7.0,9.0,9.0,9.0,9.0,3.0,1.0,9.0,9.0,5.0,5.0,3.0,1.0,5.0,5.0,2.0,7.0,6.0,9.0,5.0,5.0,1,5.735
57,57,female,28.0,european/caucasian-american,1.0,5.0,german literature,15.0,15.0,20.0,15.0,15.0,20.0,7.0,10.0,7.0,10.0,7.0,1.0,1.0,5.0,10.0,10.0,10.0,5.0,1.0,5.0,10.0,6.0,10.0,8.0,10.0,8.0,7.0,2,5.151111111111111
58,58,female,26.0,latino/hispanic american,1.0,1.0,law,30.0,10.0,20.0,20.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,5.0,7.0,8.0,6.0,6.0,7.0,7.0,7.0,7.0,3.0,9.0,7.0,9.0,9.0,2.0,3,7.15
59,59,female,24.0,asian/pacific islander/asian-american,1.0,3.0,law,5.0,15.0,45.0,25.0,0.0,10.0,6.0,8.0,9.0,8.0,7.0,5.0,3.0,8.0,6.0,9.0,8.0,5.0,1.0,2.0,10.0,1.0,9.0,4.0,5.0,6.0,2.0,1,5.4688888888888885
60,60,female,27.0,asian/pacific islander/asian-american,6.0,3.0,social work,10.0,25.0,25.0,10.0,10.0,20.0,8.0,8.0,6.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,5.0,3.0,8.0,7.0,8.0,9.0,9.0,8.0,5.0,1,5.644
61,61,female,23.0,other,6.0,3.0,social work,17.0,17.0,17.0,17.0,17.0,15.0,7.0,9.0,9.0,8.0,9.0,7.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,6.0,0,6.503
62,62,male,29.0,latino/hispanic american,1.0,1.0,business & international affairs,20.0,25.0,15.0,15.0,53.0,20.0,6.0,7.0,7.0,8.0,8.0,4.0,2.0,3.0,6.0,4.0,3.0,3.0,6.0,4.0,8.0,6.0,8.0,4.0,6.0,4.0,2.0,1,5.427142857142857
63,63,male,22.0,other,1.0,1.0,law,20.0,15.0,20.0,20.0,5.0,10.0,5.0,7.0,6.0,7.0,7.0,9.0,9.0,6.0,7.0,6.0,6.0,4.0,4.0,4.0,6.0,6.0,9.0,9.0,9.0,2.0,1.0,2,6.18
64,64,male,27.0,black/african american,1.0,1.0,mfa creative writing,21.0,17.0,22.0,20.0,8.0,13.0,6.0,8.0,7.0,8.0,8.0,3.0,2.0,2.0,7.0,8.0,8.0,3.0,3.0,7.0,10.0,7.0,9.0,7.0,7.0,7.0,1.0,0,5.13375
65,65,male,28.0,european/caucasian-american,2.0,2.0,mba,50.0,10.0,30.0,10.0,0.0,0.0,5.0,9.0,5.0,8.0,8.0,10.0,7.0,5.0,5.0,3.0,2.0,1.0,3.0,9.0,8.0,2.0,7.0,6.0,7.0,2.0,1.0,2,6.345714285714286
66,66,male,26.0,european/caucasian-american,5.0,1.0,mba,25.0,10.0,20.0,20.0,15.0,10.0,8.0,6.0,8.0,9.0,6.0,9.0,4.0,9.0,5.0,7.0,5.0,7.0,5.0,5.0,8.0,3.0,8.0,5.0,8.0,5.0,6.0,1,6.5912500000000005
67,67,male,21.0,european/caucasian-american,6.0,7.0,law,60.0,15.0,0.0,15.0,0.0,10.0,6.0,8.0,8.0,10.0,10.0,9.0,10.0,6.0,4.0,3.0,3.0,7.0,6.0,7.0,7.0,8.0,10.0,6.0,8.0,2.0,1.0,3,5.745
68,68,male,22.0,european/caucasian-american,8.0,1.0,engineering,21.0,20.0,19.0,20.0,10.0,10.0,7.0,9.0,8.0,8.0,8.0,8.0,3.0,7.0,10.0,6.0,6.0,7.0,2.0,9.0,5.0,6.0,7.0,6.0,8.0,8.0,4.0,0,5.455
69,69,male,22.0,european/caucasian-american,7.0,3.0,mba,30.0,10.0,20.0,30.0,0.0,10.0,7.0,7.0,8.0,7.0,8.0,9.0,9.0,7.0,6.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0,7.0,7.0,6.0,4.0,1.0,0,6.202857142857143
70,70,male,25.0,european/caucasian-american,3.0,1.0,electrical engineering,30.0,0.0,30.0,30.0,10.0,0.0,7.0,9.0,9.0,8.0,7.0,8.0,3.0,5.0,9.0,10.0,10.0,9.0,6.0,8.0,10.0,2.0,10.0,8.0,8.0,3.0,5.0,2,6.25875
71,71,male,24.0,other,3.0,3.0,law,20.0,20.0,20.0,20.0,10.0,10.0,7.0,7.0,8.0,8.0,8.0,8.0,2.0,8.0,7.0,7.0,7.0,7.0,5.0,9.0,8.0,8.0,7.0,6.0,8.0,5.0,5.0,2,5.841428571428572
72,72,female,34.0,european/caucasian-american,5.0,7.0,classics,10.0,10.0,30.0,20.0,10.0,20.0,6.0,6.0,6.0,8.0,4.0,1.0,7.0,6.0,8.0,8.0,8.0,5.0,1.0,7.0,7.0,4.0,8.0,8.0,7.0,7.0,7.0,5,5.968
73,73,female,22.0,european/caucasian-american,2.0,2.0,social work,15.0,20.0,20.0,20.0,15.0,10.0,6.0,8.0,8.0,8.0,8.0,7.0,1.0,10.0,9.0,9.0,9.0,8.0,3.0,6.0,6.0,6.0,8.0,10.0,10.0,7.0,9.0,6,5.941333333333334
74,74,female,23.0,latino/hispanic american,1.0,4.0,social work,10.0,25.0,20.0,10.0,20.0,15.0,3.0,10.0,3.0,8.0,8.0,5.0,1.0,7.0,7.0,9.0,5.0,9.0,1.0,3.0,9.0,3.0,9.0,9.0,7.0,5.0,10.0,3,5.2675
75,75,female,26.0,asian/pacific islander/asian-american,8.0,8.0,operations research [seas],10.0,20.0,15.0,20.0,20.0,15.0,7.0,9.0,8.0,7.0,7.0,2.0,3.0,2.0,10.0,10.0,10.0,2.0,1.0,7.0,4.0,4.0,9.0,8.0,8.0,3.0,3.0,3,5.904375
76,76,female,27.0,asian/pacific islander/asian-american,3.0,1.0,chemistry,10.0,20.0,20.0,10.0,20.0,20.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,7.0,5.0,5.0,4.0,3.0,1.0,5.0,10.0,9.0,7.0,7.0,7.0,9.0,2.0,3,5.905
77,77,female,28.0,european/caucasian-american,6.0,9.0,journalism,10.0,10.0,20.0,20.0,20.0,20.0,8.0,7.0,8.0,7.0,7.0,6.0,2.0,7.0,9.0,9.0,7.0,7.0,1.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,4.0,3,6.457333333333334
78,78,female,25.0,other,2.0,7.0,elementary/childhood education [ma],20.0,20.0,20.0,20.0,10.0,10.0,8.0,9.0,8.0,8.0,7.0,5.0,5.0,5.0,8.0,9.0,10.0,9.0,1.0,7.0,8.0,6.0,8.0,8.0,9.0,6.0,7.0,5,5.949375
79,79,female,35.0,latino/hispanic american,1.0,5.0,economics,10.0,32.0,20.0,12.0,11.0,15.0,5.0,9.0,9.0,5.0,5.0,5.0,1.0,3.0,5.0,7.0,8.0,3.0,1.0,6.0,8.0,3.0,8.0,7.0,8.0,4.0,7.0,2,6.476875
80,80,female,32.0,latino/hispanic american,1.0,1.0,microbiology,30.0,30.0,30.0,5.0,0.0,5.0,7.0,9.0,7.0,8.0,5.0,7.0,1.0,9.0,9.0,9.0,9.0,3.0,1.0,9.0,9.0,1.0,10.0,9.0,9.0,5.0,5.0,2,6.149375
81,81,female,30.0,european/caucasian-american,3.0,5.0,masters of social work,20.0,25.0,15.0,15.0,15.0,10.0,7.0,9.0,9.0,8.0,9.0,2.0,3.0,4.0,9.0,8.0,6.0,8.0,4.0,7.0,8.0,4.0,7.0,5.0,8.0,5.0,3.0,1,5.843333333333334
82,82,female,22.0,european/caucasian-american,1.0,1.0,communications,15.0,20.0,20.0,20.0,5.0,20.0,7.0,9.0,9.0,9.0,4.0,2.0,2.0,1.0,4.0,7.0,7.0,2.0,1.0,6.0,4.0,7.0,10.0,10.0,10.0,2.0,2.0,8,6.489333333333334
83,83,female,23.0,european/caucasian-american,8.0,10.0,social work,15.0,15.0,20.0,15.0,15.0,20.0,9.0,9.0,9.0,9.0,9.0,10.0,5.0,10.0,8.0,7.0,7.0,8.0,4.0,9.0,9.0,6.0,10.0,9.0,10.0,7.0,9.0,2,6.192666666666667
84,84,female,23.0,european/caucasian-american,8.0,7.0,social work,15.0,15.0,20.0,15.0,20.0,15.0,9.0,9.0,9.0,9.0,9.0,8.0,7.0,10.0,7.0,7.0,7.0,8.0,6.0,6.0,10.0,8.0,10.0,8.0,10.0,9.0,3.0,0,6.063999999999999
85,85,female,27.0,european/caucasian-american,3.0,2.0,marketing,25.0,15.0,20.0,20.0,20.0,0.0,8.0,9.0,8.0,9.0,10.0,2.0,2.0,2.0,10.0,8.0,8.0,7.0,8.0,9.0,8.0,1.0,8.0,8.0,9.0,4.0,2.0,2,5.988235294117647
86,86,female,23.0,asian/pacific islander/asian-american,4.0,1.0,chemistry,15.0,21.0,18.0,18.0,10.0,18.0,5.0,8.0,5.0,7.0,5.0,8.0,9.0,6.0,5.0,8.0,9.0,6.0,3.0,1.0,10.0,6.0,8.0,7.0,6.0,4.0,1.0,1,5.568666666666667
87,87,female,25.0,other,6.0,8.0,law,15.0,3.0,50.0,20.0,2.0,10.0,6.0,7.0,7.0,9.0,8.0,4.0,2.0,5.0,7.0,7.0,5.0,7.0,3.0,5.0,7.0,7.0,8.0,8.0,7.0,6.0,2.0,8,6.998125
88,88,female,29.0,european/caucasian-american,1.0,2.0,international educational development,10.0,20.0,20.0,20.0,20.0,10.0,9.0,10.0,9.0,9.0,9.0,7.0,2.0,8.0,10.0,9.0,9.0,9.0,2.0,9.0,10.0,4.0,10.0,8.0,10.0,6.0,9.0,7,6.240714285714286
89,89,female,29.0,european/caucasian-american,2.0,2.0,education administration,14.0,20.0,18.0,24.0,18.0,6.0,8.0,8.0,8.0,8.0,7.0,3.0,2.0,6.0,10.0,7.0,6.0,8.0,7.0,8.0,7.0,5.0,8.0,6.0,5.0,7.0,6.0,4,6.4703333333333335
90,90,male,28.0,asian/pacific islander/asian-american,6.0,8.0,business [mba],20.0,20.0,20.0,10.0,10.0,20.0,6.0,9.0,9.0,9.0,7.0,7.0,2.0,8.0,8.0,5.0,4.0,4.0,3.0,3.0,9.0,5.0,9.0,6.0,7.0,4.0,5.0,3,5.124705882352941
91,91,male,26.0,european/caucasian-american,7.0,5.0,business,18.0,18.0,18.0,19.0,13.0,14.0,7.0,9.0,8.0,10.0,7.0,10.0,10.0,6.0,6.0,4.0,3.0,1.0,6.0,4.0,7.0,9.0,10.0,8.0,10.0,3.0,3.0,1,5.4316666666666675
